0.01,639451,15061595,5216842,4197784
0.05,3199400,75397429,21951125,18012077
0.1,6401044,150833001,39783600,32726431
0.2,12808466,301856985,69612701,57319742
0.5,32019545,754534871,132260417,108699747
1.0,64050329,1509327997,189530548,148486664
